# Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Ax (m/s²),Ay (m/s²),Az (m/s²)
2.606475,80.747622,-37.305445,1543.413289,65.552118,-30.687953,501.225426,22.213641,-10.915834,158.307841
2.620028,81.638086,-37.722359,1550.220888,65.851146,-30.834938,503.351403,21.881736,-10.757244,155.160868
2.630175,82.307358,-38.035773,1555.336021,66.072054,-30.943539,504.914539,21.642205,-10.638914,152.798709
2.640321,82.978859,-38.350283,1560.466893,66.290413,-31.050864,506.452619,21.407228,-10.519602,150.431393
2.650467,83.652562,-38.665875,1565.613237,66.506385,-31.156961,507.966555,21.177005,-10.399661,148.082762
2.660614,84.328443,-38.982537,1570.774808,66.720004,-31.261820,509.456543,20.935847,-10.271761,145.658419
2.670760,85.006479,-39.300256,1575.951377,66.931271,-31.365415,510.922756,20.705311,-10.146755,143.340184
2.691027,86.367202,-39.938008,1586.335431,67.345890,-31.568325,513.779578,20.208338,-9.874440,138.595929
2.711295,87.736221,-40.579813,1596.776411,67.749865,-31.765409,516.539250,19.654511,-9.571437,133.742073
2.731562,89.113313,-41.225551,1607.272356,68.142272,-31.956194,519.201936,19.061135,-9.250398,128.989040
2.747573,90.206765,-41.738378,1615.601726,68.443451,-32.102180,521.237349,18.554887,-8.982011,125.258422
2.763584,91.304972,-42.253508,1623.963197,68.736129,-32.243709,523.211986,17.999360,-8.694566,121.416731
2.779595,92.407795,-42.770867,1632.355804,69.019837,-32.380644,525.126259,17.428827,-8.405827,117.682817
2.795606,93.515085,-43.290381,1640.778570,69.294071,-32.512841,526.979592,16.820665,-8.105497,113.838069
2.811617,94.626689,-43.811974,1649.230530,69.558595,-32.640294,528.772455,16.212497,-7.811762,110.097674
2.827628,95.742451,-44.335570,1657.710708,69.813243,-32.763024,530.504770,15.592256,-7.518296,106.302236
2.843639,96.862210,-44.861094,1666.218135,70.057984,-32.881108,532.176333,14.975605,-7.231654,102.498895
2.869402,98.671938,-45.710544,1679.961614,70.431431,-33.061728,534.737894,14.010716,-6.790480,96.356197
2.888645,100.029837,-46.348006,1690.269385,70.694480,-33.189417,536.547886,13.326240,-6.480790,91.754815
2.907889,101.392675,-46.987869,1700.611133,70.944677,-33.311293,538.269222,12.679735,-6.188196,87.143172
2.920672,102.300594,-47.414192,1707.498924,71.104328,-33.389290,539.364935,12.298605,-6.015140,84.269723
2.923229,102.482421,-47.499575,1708.878149,71.135781,-33.404675,539.580423,12.285842,-6.010900,84.152001
2.925785,102.664328,-47.584998,1710.257925,71.167184,-33.420042,539.795482,12.273731,-6.006876,84.034165
2.928342,102.846316,-47.670460,1711.638251,71.198552,-33.435396,540.010196,12.262258,-6.003056,83.916225
2.933455,103.210531,-47.841501,1714.400545,71.261204,-33.466075,540.438704,12.241138,-5.995971,83.680039
2.938568,103.575066,-48.012699,1717.165027,71.323752,-33.496719,540.865984,12.222356,-5.989562,83.443435
2.943682,103.939921,-48.184054,1719.931690,71.386208,-33.527331,541.292046,12.205765,-5.983739,83.206427
2.957971,104.961220,-48.663744,1727.674806,71.560340,-33.612728,542.476231,12.169566,-5.969765,82.541971
2.972260,105.985004,-49.144654,1735.434781,71.734028,-33.697933,543.650899,12.145023,-5.957452,81.874765
2.986549,107.011268,-49.626779,1743.211472,71.907432,-33.782966,544.816127,12.128818,-5.945253,81.217308
3.000838,108.040007,-50.110118,1751.004743,72.080573,-33.867785,545.971583,12.108014,-5.927264,80.512405
3.024362,109.738963,-50.908453,1763.870244,72.364704,-34.006677,547.850860,12.052047,-5.881124,79.258875
3.026961,109.927050,-50.996842,1765.294152,72.395945,-34.021919,548.056149,12.005849,-5.856368,78.834805
3.029559,110.115218,-51.085271,1766.718592,72.427077,-34.037102,548.260417,11.959242,-5.831370,78.410704
3.032158,110.303466,-51.173739,1768.143561,72.458091,-34.052222,548.463610,11.912222,-5.806131,77.986630
3.037355,110.680204,-51.350792,1770.995073,72.519749,-34.082262,548.866700,11.816853,-5.754923,77.138727
3.042552,111.057261,-51.528001,1773.848667,72.580908,-34.112034,549.265395,11.719589,-5.702716,76.290954
3.047750,111.434635,-51.705364,1776.704320,72.641556,-34.141533,549.659689,11.620332,-5.649502,75.443368
3.064164,112.628581,-52.266543,1785.736907,72.829759,-34.232906,550.877043,11.306494,-5.481458,72.868620
3.080579,113.825573,-52.829200,1794.789144,73.012492,-34.321379,552.051076,10.956641,-5.297383,70.195748
3.096994,115.025517,-53.393283,1803.860291,73.189323,-34.406775,553.181433,10.584158,-5.104979,67.524592
3.113409,116.228313,-53.958742,1812.949637,73.359997,-34.489018,554.268880,10.204823,-4.912753,64.956427
3.129824,117.433857,-54.525524,1822.056474,73.524163,-34.568001,555.313102,9.795656,-4.710259,62.291758
